source,calls,strict_matches,matches_24hr,signed_flag_count
Google Ads,698,148,38,16
GMB (+ Multi Use Tracking Number),170,23,8,5
Direct,198,70,18,3
Yelp,31,8,2,2
Landing: 844-Inside-5,14,1,1,2
Google Organic,23,5,0,1
APEX CHAT,22,1,0,0
AA Website & Blog,390,0,0,0
Google My Business,202,0,0,0
Website,121,0,0,0
Apex (after-hour transfers to Carlos),5,0,0,0
Legacy Phone Number,29,1,0,0
Instagram,6,1,0,0
Targeted Mailers,3,0,0,0
APEX CHAT (CTL),3,0,0,0
Facebook,27,6,5,0
www.insideraccidentlawyers.com,4,0,0,0
Brand / Organic – Static (844-467-4335),22,1,2,0
Super Lawyers - Los Angeles,3,2,0,0
Bing Organic,5,1,0,0
Super Lawyers,26,1,0,0
844-INSIDE-5,35,0,0,0
syndicatedsearch.goog,1,0,0,0
Merch,4,1,0,0
Yahoo Organic,1,0,0,0
insideraccidentlawyers.com,1,0,0,0
SearchGPT,1,0,0,0
Outdoor,3,0,0,0
Media Power,26,4,0,0
(no source),1,0,0,0
Targetted Mailers,2,0,0,0
RSN (after-hour transfers to George's intake cell),4,0,0,0
RSN (after-hour transfers to Arely Intake Cell),1,0,0,0
